product_id,review_text,sentiment,confidence,positive_score,negative_score,neutral_score
dell-inspiron-15,After searching many dell-inspiron-15s of different companies I found one of the best dell-inspiron-15.Overall value for Money As a Student You should Go for It . 😍,Positive,85,85,0,15
dell-inspiron-15,Why is it smell like chemicals burn when charging? Except that everything works fine,Positive,60,60,15,25
dell-inspiron-15,I don't know why people say it heats too much bro it's aluminium build it has to discipate the heat through the vents and aluminium only in my usage the temps never crossed the throttle limit even on ...,Positive,60,60,15,25
dell-inspiron-15,Value for money .Go for it. Can check warranty on lenovo website.,Positive,60,60,15,25
dell-inspiron-15,"Display Quality is Awesome.
Found heating issues while charging.",Positive,85,85,0,15
dell-inspiron-15,"This is value for money dell-inspiron-15, the below drawback are justified,
Pros:
1. 225h processer in this low price
2. Oled screen with Hdr
3.1 tb ssd

Cons:
1. Low battery backup
2. No Thunderbolt port
3. No...",Positive,60,60,15,25
dell-inspiron-15,Beats the competition ez pz. The display and the ultra series 2 are the standout features. The oled display has great color accuracy and the 120hz refresh rate is a cherry on top . Battery life is aro...,Positive,85,85,0,15
dell-inspiron-15,Excellent performance. Solid durable full metal body looks premium. Best in class with stunning OLED display 120 Hz refresh rate. Powerful Intel core ultra 5 225H processor 14 cores with integrated In...,Positive,85,85,0,15
dell-inspiron-15,It's really good.. and the display is exceptional.,Positive,85,85,0,15
